@RELATION RealFinal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE class {B,W}

@DATA
11,0,2,0,0,0.0,0,0,4,0,4,-1,0,0,0,2,2,23417.5,-1,0,W
15,0,1,0,0,0.0,0,0,11,0,11,1820.0,1,1,1,3,1,1402.0,20100817,1,W
14,0,1,0,0,0.0,0,0,10,0,10,50.0,4,1,1,3,2,29078.666666666668,-1,2,W
8,0,1,0,0,0.0,0,0,5,0,5,920.0,1,1,1,2,1,3728.0,-1,3,W
10,0,1,0,0,0.0,0,0,6,0,6,3620.0,1,1,1,3,1,729.0,20070919,4,W
13,0,1,0,0,0.0,0,0,9,0,9,320.0,1,1,1,3,3,220.66666666666666,19991202,2,W
16,0,1,0,0,0.0,0,0,12,0,12,620.0,1,1,1,4,1,61273.5,20030601,2,W
12,0,1,1,0,0.0,0,0,8,0,4,-1,0,0,0,4,1,73879.25,20121003,0,W
16,0,2,0,3,0.0,1,0,7,3,7,-1,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,8,0,8,21620.0,1,1,1,3,2,115207.0,-1,5,W
15,0,1,0,0,0.0,0,0,11,0,11,319.0,1,1,1,2,1,30248.0,19991206,2,W
13,0,2,0,2,0.0,3,0,5,1,4,-1,0,0,0,0,0,-1,-1,0,B
15,0,2,0,3,0.0,1,0,7,3,7,620.0,1,1,1,0,0,-1,-1,2,B
12,0,1,0,0,0.0,0,0,8,0,8,80.0,2,1,1,4,1,65473.5,19950407,2,W
6,0,1,0,0,0.0,0,0,3,0,3,620.0,1,1,1,4,2,6401.5,-1,2,W
20,0,3,0,3,0.0,1,0,9,3,9,3620.0,1,1,1,0,0,-1,-1,2,B
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,1,1,2,1,15643.0,-1,2,W
7,0,1,0,0,0.0,0,0,4,0,4,80.0,1,1,1,2,2,619.0,-1,6,W
13,0,3,0,2,0.0,1,0,3,2,3,-1,0,0,0,0,0,-1,-1,0,B
11,1,3,0,8,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,6,0,6,320.0,5,5,1,2,1,63528.5,-1,2,W
11,0,1,0,3,0.0,1,0,7,3,4,-1,0,0,0,0,0,-1,-1,0,B
15,0,1,0,0,0.0,0,0,11,0,11,28820.0,1,1,1,4,1,35340.25,19970201,4,W
15,0,1,1,0,0.0,0,0,11,0,7,1220.0,1,1,1,2,2,709.5,-1,2,W
12,0,2,0,4,0.0,1,0,4,4,4,-1,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
8,0,1,0,0,0.0,0,0,5,0,5,620.0,4,1,1,4,1,3609.5,-1,6,W
10,0,1,0,4,0.0,1,0,6,4,3,3620.0,1,1,1,5,2,213.2,20050517,2,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,13,0,13,620.0,1,1,1,2,1,78795.0,20140318,7,W
12,0,2,0,3,0.0,1,0,5,3,5,-1,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,335.0,1,1,1,2,7,62333.5,-1,8,W
15,0,2,0,4,0.0,3,0,6,3,6,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,320.0,1,1,1,2,1,80994.0,20140515,9,W
7,0,1,0,0,0.0,0,0,3,0,3,3620.0,1,1,1,3,1,917.3333333333334,19960702,2,W
11,0,2,0,0,0.0,0,0,5,0,5,320.0,1,1,1,4,1,94589.75,-1,2,W
10,0,1,0,0,0.0,0,0,6,0,6,50.0,1,1,1,4,1,88253.0,-1,2,W
22,0,1,0,0,0.0,0,0,18,0,18,3620.0,1,1,1,2,1,5419.0,20020224,2,W
14,0,1,0,0,0.0,0,0,10,0,10,320.0,2,1,1,2,1,29224.5,19990125,2,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,1820.0,1,1,1,5,1,48099.0,20130516,2,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,1,1,14418.0,-1,0,B
5,0,1,0,0,0.0,0,0,2,0,2,10820.0,1,1,1,2,1,10817.5,-1,10,W
10,0,1,0,0,0.0,0,0,6,0,6,10820.0,1,1,1,4,4,10813.0,20141211,2,W
15,0,1,0,0,0.0,0,0,11,0,11,320.0,1,1,1,4,1,71941.25,20020909,11,W
12,0,2,0,0,0.0,0,0,5,0,5,80.0,1,1,1,4,1,80395.0,-1,2,W
11,0,1,0,0,0.0,0,0,8,0,8,920.0,2,1,1,4,2,906.25,-1,12,W
19,0,2,0,5,0.0,3,0,8,3,6,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,3620.0,1,1,1,3,1,36676.0,20051015,2,W
13,0,1,0,0,0.0,0,0,9,0,9,7210.0,1,1,1,5,7,1362.4,20020416,13,W
14,0,2,0,0,0.0,0,0,7,0,7,-1,0,0,0,6,1,43207.666666666664,-1,0,W
13,0,1,0,0,0.0,0,0,10,0,10,3620.0,1,1,1,3,2,13844.0,-1,14,W
13,0,1,0,0,0.0,0,0,9,0,9,620.0,7,4,1,3,1,32853.666666666664,19981021,15,W
11,0,1,0,0,0.0,0,0,8,0,8,320.0,5,5,1,2,1,11486.5,-1,2,W
14,0,2,0,2,0.0,1,0,5,2,5,-1,0,0,0,0,0,-1,-1,0,B
7,0,1,0,0,0.0,0,0,3,0,3,36020.0,2,2,1,4,1,36008.25,-1,2,W
